"Control Type","Action Category","Workload","Tier","User Impact","Implementation Cost","Enablement","Reference Id","Stack Rank","Baseline","Threats","Deprecated","Description","Name","Remediation Change","Remediation Impact","Action Url"
"Config","Account","AzureAD","Core","Low","Low","O365 Native","AdminMFA",1,50,"Account Breach,Elevation of Privilege",FALSE,"You should enable MFA for all of your admin accounts because a breach of any of those accounts can lead to a breach of any of your data. We found that you had 4 admins out of 4 that did not have MFA enabled.   If you enable MFA for those 4 admin accounts, your score will go up 50 points.","Enable MFA for all global admins","Enabling MFA at the site linked below will update your Global Administrator account logons to require the use of MFA to authenticate to Office 365. This will make it more difficult for an attacker to steal admin credentials and then steal your data.","When you enable MFA for your Global Administrators, they will be prompted to authenticate with a 2nd factor upon logging into Office 365 services each day. The second factor is most commonly a phone call to a registered cell phone number where they type in an authorization code, or with a mobile application called Azure Authenticator.","https://account.activedirectory.windowsazure.com/UserManagement/MultifactorVerification.aspx"
"Config","Account","AzureAD","Core","Moderate","Low","O365 Native","UserMFA",2,30,"Account Breach,Elevation of Privilege",FALSE,"You should enable MFA for all of your user accounts because a breach of any of those accounts can lead to a breach of any data that user has access to. We found that you had 5 users out of 5 that did not have MFA enabled.   If you enable MFA for those 5 user accounts, your score will go up 30 points.","Enable MFA for all users","Enabling MFA at the interface linked below will update your user account logons to require the use of MFA to authenticate to Office 365. This will make it more difficult for an attacker to steal user credentials and then steal your data.","When you enable MFA for your users, they will be prompted to authenticate with a 2nd factor upon logging into Office 365 services each day. The second factor is most commonly a phone call to a registered cell phone number where they type in an authorization code, or with a mobile application called Azure Authenticator.","https://account.activedirectory.windowsazure.com/UserManagement/MultifactorVerification.aspx"
"Behavior","Account","AzureAD","Defense In Depth","Low","Low","O365 Native","AltInfoIncomplete",45,1,"Account Breach,Elevation of Privilege",FALSE,"You should ensure that alternate contact information, such as alternate email or cell phone number, is completed for all users. This will ensure that you can safely contact users to verify anomalous activity, and will ensure that if you have to enable multi-factor authentication for a user that they will be able to complete the registration. We found that you have 0 accounts that do not have completed information.  ","User alternate contact info is completed for all users","Clicking the launch button below will take you to the active users page in the admin center. Here, you can ensure that alternate contact information, such as alternate email or cell phone number, is completed for all users. This will ensure that you can safely contact users to verify anomalous activity, and will ensure that if you have to enable multi-factor authentication for a user that they will be able to complete the registration.","This change will have no effect on your users.","https://portal.office.com/Admin/Default.aspx#ActiveUsersPage"
"Config","Data","IP","Advanced","Moderate","Moderate","O365 E3","DLPEnabled",46,20,"Data Exfiltration,Data Spillage",FALSE,"You should enable Data Loss Prevention (DLP) policies to help protect your data from accidental, or malicious exposure. DLP allows Exchange Online and SharePoint Online content to be scanned for specific types of data like social security numbers, credit card numbers, or passwords, and will alert users and administrators that this data should not be exposed. We found that you have enabled 0 DLP policies.   If you enable at least one policy, your score will increase  points.","Enable Data Loss Prevention policies","To comply with business standards and industry regulations, organizations need to protect sensitive information and prevent its inadvertent disclosure. Examples of sensitive information that you might want to prevent from leaking outside your organization include financial data or personally identifiable information (PII) such as credit card numbers, social security numbers, or health records. Clicking the launch button below will take you to the Office 365 Security & Compliance Center, where you can identify, monitor, and automatically protect sensitive information across Office 365.","This change will have a moderate impact on your users.","https://outlook.office365.com/ecp/?Realm=%tenantdomain%exsvurl=1mkt=en-USrfr=Admin_o365"
"Config","Data","AzureAD","Defense In Depth","Moderate","Low","O365 Native","IntegratedApps",27,10,"Data Exfiltration,Data Spillage",FALSE,"You should not allow third party integrated applications to connect to your services unless there is a very clear value and you have robust security controls in place. While there are legitimate uses, attackers can grant access from breached accounts to third party applications to exfiltrate data from your tenancy without having to maintain the breached account. We found that your policy to allow third party integrated applications to access your service is currently configured to False.  ","Do not allow third party integrated applications","Disabling third party integrated applications will update your site policy to not allow third party integrated applications. Third party applications are not created by Microsoft so they can be malicious and be used to exfiltrate data from your tenancy.To disable third party integrated applications, follow the link below to the Admin center and search for ""Integrated Apps settings"". On the slide-out panel, turn off the switch labeled ""Let people in your organization decide whether third-party apps can access their Office 365 information"".","This change will have a moderate impact on your users.","https://portal.office.com/adminportal/home?switchtomodern=true#/homepage"
"Behavior","Account","AzureAD","Core","Low","Low","O365 Native","ManyAdmins",21,1,"Account Breach,Elevation of Privilege,Malicious Insider",FALSE,"You should designate less than five global tenant administrators because the more global admin users you have, the more likely it is that one of those accounts will be successfully breached by an external attacker. We found that you have 4 admins designated.  ","Designate less than 5 global admins","Designate less than five global tenant administrators because the more global admin users you have, the more likely it is that one of those accounts will be successfully breached by an external attacker. You should designate alternate roles for global admins such that they can complete needed tasks but only with the least privileged required for the task. For example, if your user is primarily responsible for Exchange Online administration, you should use that role instead of the Global admin role to reduce the impact of a potential breach of that account. Make sure you have at least two Global Admins designated to ensure that you can protect against a rogue insider and to ensure a breach of one of those accounts can be recovered.","Admins who have been designated alternate roles will lose some of the privileges that they had before (although they might keep some privileges depending on the role). Make sure that these users have enough privileges to complete their day-to-day work.","https://portal.office.com/Admin/Default.aspx#ActiveUsersPage"
"Behavior","Account","AzureAD","Core","Low","Low","O365 Native","OneAdmin",19,2,"Malicious Insider",FALSE,"You should designate more than one global tenant administrator because that one admin can perform malicious activity without the possibility of being discovered by another admin. We found that you have 4 admins designated.  ","Designate more than one global admin","Designate more than 1 global admin to enable admins to monitor each other for signs of breach. Elevating any users/custom admins to global admins gives them access to all administrative features in the Office 365 and the ability to assign admin roles to other users. You should enforce more secure account authentication (ie.MFA) with global admins as they have more permissions that an attacker can use in the event of a breach. Designate less than 5 global tenant admins, it reduces the likelihood of admin accounts being successfully breached by an attacker.","Admins who have been designated global admin roles will have access to all administrative features in the Office 365 and the ability to assign admin roles to other users. They should have more secure account authentication to protect these additional privileges from attackers.","https://portal.office.com/Admin/Default.aspx#ActiveUsersPage"
"Behavior","Account","AzureAD","Defense In Depth","Low","Low","O365 Native","RoleOverlap",41,1,"Account Breach,Elevation of Privilege,Malicious Insider",FALSE,"You should leverage non-global administrator roles to perform required administrative work with the least privileges necessary to complete the task. Using roles like Password Administrator or Exchange Online Administrator will reduce the number of high value, high impact global admin role holders you have, which will in turn reduce the likelihood of a breach of an account with global administrative privileges. We found that you have 0 users in non-global admin roles.   If you adopt non-global admin roles, your score will go up 1 points.","Use non-global administrative roles","Designate alternate roles for global admins such that they can complete needed tasks but only with the least privileged required for the task. For example, if your user is primarily responsible for Exchange Online administration, you should use that role instead of the Global admin role to reduce the impact of a potential breach of that account. Make sure you have at least two Global Admins designated to ensure that you can protect against a rogue insider and to ensure a breach of one of those accounts can be recovered.","Admins who have been designated alternate roles will lose some of the privileges that they had before (although they might keep some privileges depending on the role). Make sure that these users have enough privileges to complete their day-to-day work.","https://portal.office.com/Admin/Default.aspx#ActiveUsersPage"
"Config","Device","IP","Advanced","Moderate","Low","O365 Native","MDMAlphaPW",64,1,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should require your users to use a complex password with a at least two character sets (letters and numbers, for example) to unlock their mobile devices. Devices without this protection are vulnerable to being accessed physically by attackers who can then steal account credentials, data, or install malware on the device. We found that your mobile device policy requiring an alphanumeric password currently requires 0 character sets.   If you require an alphanumeric password on mobile devices, your score will go up 1 points.","Require mobile devices to use alphanumeric password","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can set a policy to require users to use a complex password with a at least two character sets (letters and numbers, for example) to unlock their mobile devices. Devices without this protection are vulnerable to being accessed physically by attackers who can then steal account credentials, data, or install malware on the device. ","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Device","IP","Advanced","Moderate","Low","O365 Native","MDMEncryptReq",65,1,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should require your users to use encryption on their mobile devices. Unencrypted devices can be stolen and their data extracted by an attacker very easily. We found that your mobile device policy requiring encryption is set to False.   If you require encryption on mobile devices, your score will go up 1 points.","Require mobile devices to use encryption","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can set a policy to require users to use encryption on their mobile devices. Unencrypted devices can be stolen and their data extracted by an attacker very easily.","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Device","IP","Advanced","Moderate","Low","O365 Native","MDMManageEmail",60,5,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should configure your mobile device management policies to require the policy to manage the email profile of the user. If you do not require this, users will be able to setup and configure email accounts without the protections of the mobile device management policy, leading to potential breaches of accounts and data. We found that your policy configure to require mobile devices to manage email profile is set to False.   If you enable this policy, your score will increase by  points.","Require mobile devices to manage email profile","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can set a policy to require the policy to manage the email profile of the user. If you do not require this, users will be able to setup and configure email accounts without the protections of the mobile device management policy, leading to potential breaches of accounts and data.","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Device","IP","Advanced","Moderate","Low","O365 Native","MDMMinPW",67,1,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should require your users to use a complex password with a minimum password length of at least six characters to unlock their mobile devices. Devices without this protection are vulnerable to being accessed physically by attackers who can then steal account credentials, data, or install malware on the device. We found that your mobile device minimum password length policy requires a minimum of 0 characters.   If you require at least a six character password, your score will go up 1 points.","Require mobile devices to have minimum password length","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can set a policy to require users to use a complex password with a minimum password length of at least six characters to unlock their mobile devices. Devices without this protection are vulnerable to being accessed physically by attackers who can then steal account credentials, data, or install malware on the device.","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Device","IP","Advanced","Moderate","Low","O365 Native","MDMPWExpireNew",70,1,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"While this is not the most intuitive recommendation, research has found that when periodic password resets are enforced, passwords become weaker as users tend to pick something weaker and then use a pattern of it for rotation. If a user creates a strong password: long, complex and without any pragmatic words present, it should remain just as strong is 60 days as it is today. It is Microsoft's official security position to not expire passwords periodically without a specific reason. We found that your mobile device password expiration policy is set to expire after infinite days.   If you never expire passwords, your score will go up 1 points.","Require mobile devices to never expire password","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can make sure that there is not a policy that expires passwords. Research has found that when periodic password resets are enforced, passwords become weaker as users tend to pick something weaker and then use a pattern of it for rotation.","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
